x,y
1990,0.011535
1991,0.009092
1992,-0.001289
1993,0.000857
1994,-0.005775
1995,-0.006201
1996,-0.004329
1997,0.003242
1998,-0.008643
1999,-0.007189
2000,-0.008524
2001,-0.013028
2002,-0.014869
2003,-0.016449
2004,-0.007063
2005,-0.015499
2006,-0.010208
2007,-0.011291
2008,-0.013329
2009,-0.015996
2010,-0.018568
2011,-0.003211
2012,-0.004187
2013,-0.009133
